,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L12-v2,BAAI/bge-base-en-v1.5,BAAI/bge-small-en-v1.5,intfloat/multilingual-e5-large,Alibaba-NLP/gte-Qwen2-1.5B-instruct
0,1,1,1,1,1,1
1,5,8,21,14,11,5
2,2,1,1,1,1,1
3,2,1,1,1,1,1
4,1,1,1,1,1,1
5,1,1,1,1,1,1
6,1,1,1,1,1,1
7,1,1,1,1,1,1
8,1,1,1,1,1,1
9,1,1,1,1,1,65
10,1,1,1,1,1,1
11,3,2,1,2,2,1
12,1,1,1,1,1,1
13,1,1,1,1,1,1
14,2,1,1,1,1,53
15,10,8,2,3,3,53
16,1,1,1,1,1,54
17,3,3,1,3,1,1
18,12,3,4,8,3,1
19,1,1,1,1,1,1
20,1,1,1,1,1,54
21,4,8,2,2,1,57
22,1,1,1,1,1,58
23,1,1,1,1,1,1
24,1,1,1,1,1,1
25,1,1,1,1,1,1
26,1,1,1,1,1,1
27,1,1,1,1,1,1
28,2,2,1,1,1,1
29,2,2,1,1,1,1
30,1,2,2,2,3,17
31,1,1,1,1,2,60
32,1,1,1,1,2,65
33,2,2,2,2,2,55
34,2,2,1,1,1,1
35,9,6,2,5,1,1
36,10,7,21,22,7,2
37,1,1,1,1,1,1
38,2,3,3,2,1,76
39,2,2,2,2,3,22
40,13,6,7,7,8,2
41,1,1,1,1,2,5
42,2,9,2,2,3,2
43,2,7,1,2,1,1
44,1,1,1,1,1,1
45,13,13,7,9,4,9
46,2,2,3,2,2,1
47,1,2,1,1,1,5
48,2,2,1,1,1,1
49,1,1,1,1,1,1
50,1,1,1,1,1,1
51,1,1,1,1,1,1
52,7,3,7,4,2,7
53,1,1,1,1,1,1
54,1,1,1,1,1,1
55,4,7,6,5,1,2
56,1,1,1,1,1,1
57,2,1,1,1,1,3
58,1,1,1,1,1,1
59,2,2,2,2,2,57
60,4,3,3,11,3,1
61,2,1,1,1,1,2
62,2,2,2,2,1,1
63,1,1,1,1,1,81
64,5,5,1,6,1,3
65,9,5,4,2,1,8
66,6,7,3,3,1,5
67,6,6,4,3,3,5
68,2,5,1,2,1,2
69,4,4,2,2,1,2
70,1,1,1,1,3,67
71,2,2,2,2,2,55
72,2,1,1,1,1,64
73,1,2,1,2,1,55
74,1,2,1,2,1,54
75,1,1,1,1,1,65
76,3,3,4,10,1,58
77,1,1,1,1,1,47
78,2,2,2,2,2,58
79,1,1,1,1,1,41
80,1,1,2,1,1,1
81,3,3,3,2,3,1
82,4,4,1,1,1,1
83,1,1,1,1,1,1
84,1,1,1,1,1,1
85,2,2,2,3,2,1
86,1,1,1,1,1,1
87,1,1,1,1,1,1
88,1,1,1,1,1,1
89,1,1,2,1,1,2
90,1,1,1,1,1,1
91,1,1,1,1,1,1
92,1,1,1,1,1,66
93,1,1,1,1,1,56
94,1,1,1,1,1,68
95,2,2,2,2,2,9
96,1,1,1,1,1,2
97,1,1,1,1,1,2
98,1,1,1,1,1,1
99,1,1,1,1,1,64
100,1,1,1,1,1,68
101,1,1,1,1,1,1
102,1,1,1,1,1,1
103,1,1,1,1,1,71
104,1,1,1,1,1,68
105,1,2,1,1,1,1
106,1,1,1,4,1,1
107,1,1,1,1,1,1
108,1,1,1,1,1,1
109,1,1,1,1,1,1
110,2,2,1,1,1,1
111,3,2,7,1,1,1
112,2,2,4,3,2,1
113,4,2,1,1,1,53
114,1,1,1,1,1,17
115,1,1,1,1,1,49
116,7,6,3,6,2,3
117,1,1,5,3,1,3
118,2,2,1,2,1,1
119,2,1,1,1,1,1
120,3,5,4,3,4,2
121,1,1,3,2,2,1
122,6,4,3,1,2,1
123,7,2,4,2,2,1
124,1,1,1,1,1,56
125,1,2,1,1,1,65
126,1,1,1,1,1,1
127,1,1,1,1,1,1
128,1,1,1,1,1,1
129,2,2,1,1,1,2
130,1,1,1,1,1,1
131,3,2,2,4,1,7
132,2,1,1,2,1,1
133,1,1,1,1,1,1
134,1,1,1,1,1,1
135,1,1,1,1,1,1
