,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L12-v2,BAAI/bge-base-en-v1.5,BAAI/bge-small-en-v1.5,intfloat/multilingual-e5-large,Alibaba-NLP/gte-Qwen2-1.5B-instruct
0,1,1,1,1,1,1
1,6,10,22,14,12,4
2,3,1,2,4,2,1
3,4,1,3,3,2,1
4,2,1,1,1,1,1
5,1,1,1,1,1,72
6,1,1,1,1,1,66
7,2,2,2,2,1,54
8,2,2,3,4,2,1
9,1,1,1,1,1,73
10,2,2,1,1,1,1
11,2,2,1,2,2,1
12,1,1,1,2,1,1
13,1,1,1,1,1,1
14,2,1,1,1,1,1
15,11,6,2,3,3,1
16,1,1,1,1,1,61
17,3,3,2,3,1,1
18,13,5,5,10,4,1
19,1,1,1,1,1,1
20,1,1,1,1,1,59
21,4,10,5,4,1,63
22,1,1,1,1,1,62
23,1,1,1,1,1,1
24,1,1,1,1,1,1
25,1,1,1,1,1,1
26,1,1,1,1,1,1
27,1,1,1,1,1,1
28,1,1,1,1,1,1
29,1,1,1,1,1,1
30,1,2,2,2,3,22
31,1,1,1,1,1,67
32,1,1,1,1,2,73
33,2,2,2,2,2,61
34,2,2,1,1,1,1
35,12,7,2,6,3,2
36,9,7,21,22,7,2
37,1,1,1,1,1,1
38,2,3,3,2,1,85
39,2,2,2,3,4,24
40,16,5,6,8,7,4
41,1,1,1,1,2,5
42,2,9,2,3,4,4
43,9,9,7,8,6,66
44,2,2,2,2,1,31
45,16,13,11,11,6,9
46,2,2,2,2,2,1
47,2,2,1,1,1,2
48,1,3,1,1,1,78
49,1,1,1,1,1,1
50,1,1,1,1,1,1
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,1,1,1,1,1,1
54,1,1,1,1,1,1
55,1,1,3,1,1,2
56,1,1,1,1,1,1
57,2,1,1,1,1,1
58,1,1,1,1,1,1
59,2,2,2,2,2,67
60,4,2,3,10,3,1
61,2,1,1,1,1,2
62,2,2,2,2,1,1
63,1,1,1,1,1,92
64,7,5,1,5,2,8
65,6,5,5,1,4,1
66,9,7,3,5,4,74
67,10,8,5,5,5,76
68,4,6,3,4,2,70
69,2,3,3,2,4,1
70,1,1,1,1,3,73
71,1,1,2,1,2,61
72,2,5,1,5,1,80
73,1,4,1,2,1,62
74,1,3,1,2,1,60
75,2,9,1,3,1,72
76,1,1,1,1,1,1
77,2,2,1,2,1,51
78,1,1,1,1,1,64
79,2,2,2,2,1,44
80,1,1,1,1,1,1
81,3,3,3,3,3,1
82,4,2,1,1,1,1
83,1,1,1,1,1,67
84,1,1,1,1,1,68
85,1,1,1,1,1,1
86,1,1,1,1,1,1
87,1,1,1,1,1,1
88,1,1,1,1,1,1
89,1,1,2,1,1,2
90,1,1,1,1,1,1
91,1,1,1,1,1,1
92,1,1,1,1,1,65
93,1,1,1,1,1,24
94,1,1,2,1,2,67
95,1,1,1,1,1,1
96,1,1,1,1,1,1
97,1,1,1,1,1,2
98,1,1,1,1,1,1
99,1,2,2,1,1,78
100,1,2,2,1,1,78
101,1,1,1,1,1,78
102,1,1,1,1,1,75
103,1,2,1,1,1,77
104,1,1,1,1,1,75
105,1,2,1,1,1,1
106,1,1,1,4,1,1
107,1,1,1,1,1,1
108,1,1,1,1,1,1
109,1,1,1,1,1,1
110,2,3,1,1,1,1
111,3,2,7,1,1,1
112,2,3,5,3,2,1
113,2,4,1,4,2,20
114,1,1,1,1,1,1
115,5,2,2,2,1,1
116,2,1,1,2,1,1
117,1,1,1,1,1,1
118,1,1,1,1,1,1
119,1,1,1,1,1,1
120,3,2,4,4,2,2
121,1,1,2,2,1,1
122,7,3,4,1,1,1
123,9,2,4,2,2,1
124,15,17,4,2,5,1
125,1,2,1,1,1,59
126,1,1,1,1,1,1
127,1,1,1,1,1,1
128,1,1,1,1,1,1
129,2,2,1,1,2,4
130,1,1,1,1,1,1
131,3,2,2,3,1,8
132,2,1,1,2,1,1
133,1,1,1,1,1,1
134,1,1,1,1,1,1
135,1,1,1,1,1,1
