,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L12-v2,BAAI/bge-base-en-v1.5,BAAI/bge-small-en-v1.5,intfloat/multilingual-e5-large,Alibaba-NLP/gte-Qwen2-1.5B-instruct
0,1,1,1,1,1,1
1,8,12,24,16,13,3
2,1,1,1,1,1,1
3,1,1,1,1,1,1
4,2,1,1,1,1,75
5,1,1,1,1,1,78
6,1,1,1,1,1,70
7,2,2,1,2,1,57
8,3,3,4,4,3,2
9,1,1,1,1,1,82
10,4,3,1,3,1,2
11,1,1,1,1,1,1
12,1,1,1,1,1,1
13,1,1,1,1,1,68
14,1,1,1,1,1,84
15,3,1,1,1,1,95
16,5,4,3,3,6,75
17,3,1,1,1,1,1
18,15,5,5,9,4,1
19,1,1,1,1,1,1
20,1,1,1,1,1,58
21,6,7,2,3,1,1
22,1,1,1,1,1,56
23,1,1,1,1,1,1
24,1,1,1,1,1,1
25,1,1,1,1,1,69
26,1,1,1,1,1,79
27,2,2,2,2,2,1
28,1,1,1,1,1,1
29,1,1,1,1,1,1
30,1,2,2,2,4,22
31,1,2,2,1,1,70
32,1,1,1,1,2,80
33,3,2,2,2,2,65
34,2,2,1,1,1,110
35,15,8,2,5,2,2
36,11,8,26,24,7,1
37,1,1,1,1,1,1
38,5,4,3,5,2,83
39,2,2,2,2,3,26
40,16,6,7,8,9,1
41,1,1,1,1,2,6
42,6,5,9,19,8,31
43,7,9,7,9,8,70
44,1,1,1,1,1,31
45,9,7,3,6,3,5
46,1,1,1,2,1,1
47,1,1,1,1,1,1
48,1,2,1,1,1,85
49,1,1,1,1,1,1
50,1,1,1,1,1,1
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,1,1,1,1,1,1
54,1,1,1,1,1,1
55,1,1,2,1,1,2
56,1,1,1,1,1,1
57,2,1,1,1,1,1
58,1,1,1,1,1,1
59,2,2,2,2,2,68
60,1,1,2,1,1,1
61,1,1,1,1,1,1
62,2,2,2,2,2,1
63,3,2,3,1,2,105
64,2,3,1,17,2,91
65,7,5,4,1,4,1
66,8,9,3,5,1,17
67,7,7,3,3,3,22
68,1,1,1,1,1,1
69,2,2,2,2,2,1
70,1,1,1,1,1,69
71,1,1,2,1,2,63
72,3,10,2,9,1,72
73,2,2,1,2,1,65
74,5,2,2,3,2,63
75,1,1,1,1,1,74
76,1,2,1,1,1,66
77,2,2,1,2,1,67
78,1,1,1,1,1,71
79,1,1,1,1,1,1
80,1,1,1,1,1,1
81,4,3,3,3,3,1
82,4,2,1,2,1,1
83,1,1,1,1,1,74
84,1,1,2,1,1,1
85,2,1,3,3,2,1
86,1,1,1,1,1,1
87,1,1,1,1,1,1
88,1,1,1,1,1,73
89,3,4,1,1,1,2
90,1,1,1,1,1,1
91,6,2,1,1,2,1
92,1,1,1,1,1,35
93,1,1,1,1,1,6
94,2,1,1,1,1,78
95,2,2,2,2,2,6
96,1,1,1,1,1,2
97,1,1,1,1,1,2
98,1,1,1,1,1,1
99,1,1,1,1,1,64
100,1,1,1,1,2,80
101,1,1,1,1,1,22
102,2,2,2,3,2,1
103,1,1,1,1,1,20
104,1,1,1,1,1,1
105,1,1,1,2,1,1
106,1,1,1,3,1,1
107,1,1,1,1,1,1
108,1,1,1,1,1,1
109,1,1,1,1,1,96
110,2,3,1,1,1,114
111,3,1,11,1,2,86
112,29,31,2,7,1,1
113,2,4,1,4,1,72
114,1,1,1,1,1,1
115,4,1,1,1,1,1
116,2,1,1,3,1,1
117,1,1,1,1,1,1
118,1,1,1,1,1,1
119,1,1,1,1,1,1
120,2,2,4,4,2,2
121,1,1,2,2,1,1
122,8,4,4,1,1,1
123,10,3,4,2,2,1
124,1,1,1,1,1,1
125,12,21,8,9,9,90
126,1,1,1,1,1,1
127,1,1,2,1,1,1
128,1,1,1,1,1,77
129,3,2,1,1,1,4
130,1,1,1,1,1,1
131,8,4,5,9,3,66
132,15,9,20,27,7,61
133,8,3,3,2,2,21
134,2,2,2,2,2,19
135,1,1,1,1,1,1
