,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L12-v2,BAAI/bge-base-en-v1.5,BAAI/bge-small-en-v1.5,intfloat/multilingual-e5-large,Alibaba-NLP/gte-Qwen2-1.5B-instruct
0,1,1,1,1,1,1
1,7,10,23,13,13,3
2,3,1,2,4,2,1
3,4,1,3,3,2,1
4,2,1,1,1,1,1
5,1,1,1,1,1,76
6,1,1,1,1,1,69
7,2,2,2,2,1,57
8,2,2,3,4,2,1
9,1,1,1,1,1,77
10,2,2,1,1,1,1
11,2,1,1,1,1,1
12,1,1,1,1,1,1
13,1,1,1,1,1,65
14,2,1,1,1,1,86
15,13,1,1,1,1,83
16,1,1,1,1,1,65
17,2,3,2,2,1,1
18,14,5,5,10,4,1
19,1,1,1,1,1,1
20,1,1,1,1,1,61
21,4,10,5,4,1,66
22,1,1,1,1,1,66
23,1,1,1,1,1,1
24,1,1,1,1,1,1
25,1,1,1,1,1,65
26,1,1,1,1,1,78
27,2,2,2,2,2,1
28,1,1,1,1,1,1
29,1,1,1,1,1,1
30,1,2,2,2,3,23
31,1,1,1,1,1,70
32,1,1,1,1,2,76
33,3,2,2,2,2,63
34,2,2,1,1,1,1
35,13,7,2,6,3,2
36,10,7,24,24,7,2
37,1,1,1,1,1,1
38,2,2,2,2,1,86
39,2,2,2,3,4,25
40,16,5,6,9,7,4
41,1,1,1,1,2,7
42,1,5,2,3,4,38
43,8,9,7,8,7,69
44,2,2,2,2,1,30
45,16,13,12,11,5,9
46,1,1,1,2,1,1
47,2,2,1,1,1,2
48,1,3,1,1,1,83
49,1,1,1,1,1,1
50,1,1,1,1,1,1
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,1,1,1,1,1,1
54,1,1,1,1,1,1
55,1,1,2,1,1,2
56,1,1,1,1,1,1
57,2,1,1,1,1,1
58,1,1,1,1,1,1
59,2,2,2,2,2,69
60,3,2,3,10,3,1
61,1,1,1,1,1,1
62,2,2,2,2,1,1
63,1,1,1,1,1,98
64,5,7,1,4,2,92
65,6,5,4,1,4,1
66,10,7,2,5,2,79
67,11,8,4,5,4,81
68,4,5,3,4,2,76
69,2,2,3,2,4,1
70,1,1,1,1,1,64
71,1,1,2,1,2,57
72,3,8,2,6,1,68
73,2,2,1,2,1,65
74,6,2,2,2,1,59
75,1,1,1,1,1,1
76,1,1,1,1,1,1
77,2,2,1,2,1,54
78,1,1,1,1,1,67
79,2,2,2,2,1,46
80,1,1,1,1,1,1
81,3,3,3,3,3,1
82,4,2,1,1,1,1
83,1,1,1,1,1,70
84,1,1,1,1,1,72
85,1,1,1,1,1,1
86,1,1,1,1,1,1
87,1,1,1,1,1,1
88,1,1,1,1,1,1
89,1,1,3,1,2,2
90,1,1,2,1,1,1
91,6,3,1,1,2,1
92,1,1,1,1,1,68
93,1,1,1,1,1,25
94,1,1,2,1,2,70
95,1,1,1,1,1,1
96,1,1,1,1,1,1
97,1,1,1,1,1,2
98,1,1,1,1,1,1
99,1,2,2,1,1,83
100,1,2,2,1,1,81
101,1,1,1,1,1,82
102,1,1,1,1,1,79
103,1,2,1,1,1,81
104,1,1,1,1,1,77
105,1,2,1,1,1,1
106,1,1,1,5,1,1
107,1,1,1,1,1,1
108,1,1,1,1,1,1
109,1,1,1,1,1,90
110,2,5,1,1,1,98
111,3,2,8,1,1,76
112,31,28,1,5,1,1
113,2,4,1,4,2,20
114,1,1,1,1,1,1
115,5,2,2,2,1,1
116,2,1,1,2,1,1
117,1,1,1,1,1,1
118,1,1,1,1,1,1
119,1,1,1,1,1,1
120,3,2,4,4,2,2
121,1,1,2,2,1,1
122,7,3,4,1,1,1
123,9,2,4,2,2,1
124,3,3,2,2,2,1
125,1,2,1,1,1,62
126,1,1,1,1,1,1
127,1,1,1,1,1,1
128,1,1,1,1,1,1
129,2,2,1,1,1,4
130,1,1,1,1,1,1
131,3,2,2,3,1,8
132,2,1,1,2,1,1
133,1,1,1,1,1,1
134,1,1,1,1,1,1
135,1,1,1,1,1,1
