,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L12-v2,BAAI/bge-base-en-v1.5,BAAI/bge-small-en-v1.5,intfloat/multilingual-e5-large,Alibaba-NLP/gte-Qwen2-1.5B-instruct
0,1,1,1,1,1,1
1,5,9,20,14,12,4
2,3,1,2,4,2,1
3,4,1,3,3,2,1
4,2,1,1,1,1,1
5,1,1,1,1,1,72
6,1,1,1,1,1,66
7,2,2,2,2,1,55
8,2,2,3,4,2,1
9,1,1,1,1,1,73
10,2,2,1,1,1,1
11,2,2,1,2,2,1
12,1,1,1,2,1,1
13,1,1,1,1,1,1
14,2,1,1,1,1,1
15,11,6,2,3,3,1
16,2,2,1,2,1,67
17,2,2,1,2,1,1
18,12,4,4,9,3,1
19,1,1,1,1,1,1
20,1,1,1,1,1,60
21,4,10,4,3,1,63
22,1,1,1,1,1,63
23,1,1,1,1,1,1
24,1,1,1,1,1,1
25,1,1,1,1,1,1
26,1,1,1,1,1,1
27,1,1,1,1,1,1
28,1,2,1,1,1,1
29,1,2,1,1,1,1
30,1,2,2,2,3,21
31,1,1,1,1,2,67
32,1,1,1,1,2,73
33,2,2,2,2,2,61
34,2,2,1,1,1,1
35,12,9,2,7,3,2
36,10,7,22,23,7,2
37,1,1,1,1,1,1
38,2,3,3,2,1,85
39,2,2,2,2,3,25
40,16,6,7,7,8,2
41,1,1,1,1,2,5
42,3,12,3,3,3,4
43,8,9,6,12,7,66
44,1,1,1,1,1,30
45,8,7,2,4,3,5
46,2,2,2,3,2,1
47,2,2,1,1,1,2
48,1,3,1,1,1,78
49,1,1,1,1,1,1
50,1,1,1,1,1,1
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,1,1,1,1,1,1
54,1,1,1,1,1,1
55,1,1,3,1,1,3
56,1,1,1,1,1,1
57,2,1,1,1,1,1
58,1,1,1,1,1,1
59,2,2,2,2,2,67
60,5,4,3,12,3,1
61,2,1,1,1,1,2
62,2,2,2,2,1,1
63,1,1,1,1,1,93
64,8,7,1,6,2,8
65,7,6,4,1,4,1
66,9,8,2,3,3,75
67,10,8,3,3,3,77
68,4,5,4,4,3,71
69,1,1,4,2,4,1
70,2,1,1,1,3,73
71,2,2,2,2,2,63
72,2,1,1,1,1,69
73,1,3,1,2,1,62
74,1,2,1,2,1,61
75,1,1,1,1,1,71
76,3,3,5,12,1,64
77,1,1,1,1,1,52
78,2,2,2,2,2,64
79,1,1,1,1,1,45
80,1,1,2,1,1,1
81,3,3,3,2,3,1
82,4,4,1,1,1,1
83,1,1,1,1,1,67
84,1,1,1,1,1,68
85,1,1,1,1,1,1
86,1,1,1,1,1,1
87,1,1,1,1,1,1
88,1,1,1,1,1,1
89,1,1,2,1,1,2
90,1,1,1,1,1,1
91,1,1,1,1,1,1
92,1,1,1,1,1,66
93,1,1,1,1,1,25
94,1,1,2,1,2,69
95,1,1,1,1,1,1
96,1,1,1,1,1,1
97,1,1,1,1,1,2
98,1,1,1,1,1,1
99,1,1,1,1,1,78
100,1,2,2,1,1,78
101,1,1,1,1,1,78
102,1,1,1,1,1,75
103,1,1,1,1,1,77
104,1,1,1,1,1,75
105,1,2,1,1,1,1
106,1,1,1,4,1,1
107,1,1,1,1,1,1
108,1,1,1,1,1,1
109,1,1,1,1,1,1
110,2,3,1,1,1,1
111,3,2,7,1,1,1
112,2,3,5,3,2,1
113,2,4,1,4,2,21
114,1,1,1,1,1,1
115,5,2,2,2,1,1
116,2,1,1,2,1,1
117,1,1,1,1,1,1
118,1,1,1,1,1,1
119,1,1,1,1,1,1
120,3,2,4,4,2,2
121,1,1,2,2,1,1
122,7,4,4,1,1,1
123,9,2,5,3,2,1
124,1,1,1,1,1,37
125,1,2,1,1,1,59
126,1,1,1,1,1,1
127,1,1,1,1,1,1
128,1,1,1,1,1,1
129,2,2,1,1,1,4
130,1,1,1,1,1,1
131,3,2,2,3,1,9
132,2,1,1,2,1,1
133,1,1,1,1,1,1
134,1,1,1,1,1,1
135,1,1,1,1,1,1
