,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L12-v2,BAAI/bge-base-en-v1.5,BAAI/bge-small-en-v1.5,intfloat/multilingual-e5-large,Alibaba-NLP/gte-Qwen2-1.5B-instruct
0,1,1,1,1,1,1
1,6,10,22,13,13,3
2,3,1,2,4,2,1
3,4,1,3,3,2,1
4,2,1,1,1,1,1
5,1,1,1,1,1,76
6,1,1,1,1,1,69
7,2,2,2,2,1,57
8,2,2,3,4,2,1
9,1,1,1,1,1,77
10,2,2,1,1,1,1
11,2,1,1,1,1,1
12,1,1,1,1,1,1
13,1,1,1,1,1,66
14,2,1,1,1,1,86
15,3,1,1,1,1,81
16,1,1,1,1,1,66
17,2,3,2,2,1,1
18,14,4,4,9,3,1
19,1,1,1,1,1,1
20,1,1,1,1,1,61
21,4,9,4,3,1,66
22,1,1,1,1,1,66
23,1,1,1,1,1,1
24,1,1,1,1,1,1
25,1,1,1,1,1,65
26,1,1,1,1,1,77
27,2,2,2,2,2,1
28,1,2,1,1,1,1
29,1,2,1,1,1,1
30,1,2,2,2,3,22
31,1,1,1,1,1,70
32,1,1,1,1,2,76
33,3,2,2,2,2,63
34,2,2,1,1,1,1
35,12,7,2,7,3,2
36,10,7,24,24,7,2
37,1,1,1,1,1,1
38,2,2,2,2,1,86
39,2,2,2,2,3,26
40,16,6,7,8,8,2
41,1,1,1,1,2,7
42,1,5,3,3,3,38
43,7,8,6,9,7,70
44,1,1,1,1,1,29
45,7,6,1,4,2,5
46,1,1,1,2,1,1
47,2,2,1,1,1,2
48,1,3,1,1,1,83
49,1,1,1,1,1,1
50,1,1,1,1,1,1
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,1,1,1,1,1,1
54,1,1,1,1,1,1
55,1,1,2,1,1,2
56,1,1,1,1,1,1
57,2,1,1,1,1,1
58,1,1,1,1,1,1
59,2,2,2,2,2,69
60,4,3,3,11,3,1
61,1,1,1,1,1,1
62,2,2,2,2,1,1
63,1,1,1,1,1,98
64,6,9,1,5,2,92
65,7,5,4,1,4,1
66,10,7,2,4,2,79
67,11,8,3,4,3,81
68,4,5,4,4,3,76
69,1,1,4,2,4,1
70,1,1,1,1,1,64
71,1,1,2,1,2,58
72,3,8,2,6,1,69
73,1,2,1,2,1,65
74,5,2,2,2,1,60
75,1,1,1,1,1,2
76,1,1,1,1,1,1
77,1,1,1,1,1,54
78,2,2,2,2,2,68
79,1,1,1,1,1,46
80,1,1,2,1,1,1
81,3,3,3,2,3,1
82,4,3,1,1,1,1
83,1,1,1,1,1,71
84,1,1,1,1,1,73
85,1,1,1,1,1,1
86,1,1,1,1,1,1
87,1,1,1,1,1,1
88,1,1,1,1,1,1
89,1,1,3,1,2,2
90,1,1,2,1,1,1
91,6,3,1,1,2,1
92,1,1,1,1,1,69
93,1,1,1,1,1,25
94,1,1,2,1,2,72
95,1,1,1,1,1,1
96,1,1,1,1,1,1
97,1,1,1,1,1,2
98,1,1,1,1,1,1
99,1,1,1,1,1,83
100,1,2,2,1,1,81
101,1,1,1,1,1,82
102,1,1,1,1,1,79
103,1,1,1,1,1,81
104,1,1,1,1,1,77
105,1,2,1,1,1,1
106,1,1,1,5,1,1
107,1,1,1,1,1,1
108,1,1,1,1,1,1
109,1,1,1,1,1,90
110,2,5,1,1,1,98
111,3,2,8,1,1,76
112,31,28,1,5,1,1
113,2,4,1,4,2,20
114,1,1,1,1,1,1
115,5,2,2,2,1,1
116,2,1,1,2,1,1
117,1,1,1,1,1,1
118,1,1,1,1,1,1
119,1,1,1,1,1,1
120,3,2,4,4,2,2
121,1,1,2,2,1,1
122,7,3,4,1,1,1
123,9,2,5,3,2,1
124,3,3,2,2,2,1
125,1,2,1,1,1,62
126,1,1,1,1,1,1
127,1,1,1,1,1,1
128,1,1,1,1,1,1
129,2,2,1,1,1,4
130,1,1,1,1,1,1
131,3,2,2,3,1,9
132,2,1,1,2,1,1
133,1,1,1,1,1,1
134,1,1,1,1,1,1
135,1,1,1,1,1,1
